행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11140670,2021,5,1,732,518,2094,2787,1819,1763,1558,888,331,57
11140670,2021,6,1,737,504,2092,2796,1807,1780,1564,881,332,59
11140670,2021,7,1,729,498,2082,2793,1800,1790,1557,882,331,60
11140670,2021,8,1,731,497,2062,2793,1805,1792,1550,883,334,62
11140670,2021,9,1,732,486,2066,2797,1784,1790,1551,877,335,65
11140670,2021,10,1,737,484,2091,2805,1774,1787,1555,874,338,62
11140670,2021,11,1,736,479,2121,2818,1798,1784,1555,880,336,61
11140670,2021,12,2,721,477,2134,2822,1807,1777,1560,874,342,60
11140680,2021,1,32,1009,777,1429,2250,2056,1980,1481,937,430,74
11140680,2021,2,32,996,763,1406,2231,2046,1982,1496,941,429,76
11140680,2021,4,33,1010,757,1380,2217,2025,1945,1494,937,430,77
11140680,2021,5,11,1007,756,1372,2198,2021,1928,1476,920,418,62
11140680,2021,6,11,999,747,1362,2190,2033,1889,1484,918,410,62
11140680,2021,7,11,988,750,1356,2175,2022,1898,1505,922,410,63
11140680,2021,8,11,988,745,1364,2157,2023,1911,1516,918,411,63
11140680,2021,9,11,997,736,1370,2155,2000,1917,1524,915,417,63
11140680,2021,10,8,987,729,1362,2134,2002,1907,1534,914,420,61
11140680,2021,11,8,978,726,1352,2107,2021,1914,1534,903,419,61
11140680,2021,12,7,991,732,1339,2115,2027,1896,1544,899,422,63
11170510,2021,1,32,946,1265,2596,2816,2789,2876,2264,1356,602,129
11170510,2021,2,33,931,1262,2588,2795,2784,2873,2284,1364,607,126
11170510,2021,4,18,939,1237,2569,2787,2729,2799,2244,1307,594,109
11170510,2021,5,10,921,1208,2521,2773,2707,2763,2234,1285,596,107
11170510,2021,6,10,917,1205,2515,2787,2697,2761,2246,1286,597,107
11170510,2021,7,10,914,1194,2496,2780,2659,2769,2242,1286,600,104
11170510,2021,8,11,898,1187,2473,2770,2647,2757,2252,1285,603,102
11170510,2021,9,11,884,1177,2460,2774,2631,2750,2251,1283,605,103
11170510,2021,10,11,891,1177,2431,2799,2610,2745,2270,1281,602,107
11170510,2021,11,10,880,1178,2395,2788,2600,2728,2283,1282,616,105
11170510,2021,12,10,874,1178,2390,2793,2584,2735,2274,1270,624,101
11170520,2021,1,22,356,530,1546,1732,1387,1444,1461,930,454,89
11170520,2021,2,22,349,525,1532,1739,1374,1438,1469,929,457,91
11170520,2021,4,2,340,511,1548,1717,1364,1445,1456,932,441,77
11170520,2021,5,2,337,510,1523,1702,1328,1419,1413,903,443,76
11170520,2021,6,2,331,502,1512,1689,1299,1404,1415,905,442,75
11170520,2021,7,2,331,504,1507,1679,1302,1403,1421,906,447,77
11170520,2021,8,3,327,495,1497,1691,1307,1395,1426,899,447,77
11170520,2021,9,3,321,491,1482,1679,1297,1390,1417,893,449,78
