년도,월,행정동코드,총생활인구수,연령대0,연령대10,연령대20,연령대30,연령대40,연령대50,연령대60,연령대70이상
2021,04,11530730,13027948.5342,1242702.6501,1339120.1519,1507533.9996,1621121.1669,2057655.6868,1974762.1513999999,1621463.0593,1663589.6377
2021,04,11530740,20000043.5183,1580987.9921,1732474.85,2374632.8785,2853307.9664,3015268.6246,3153236.2558,2605442.182,2684692.7355
2021,04,11530750,17969818.5312,1612477.1473,1466344.9598,2112537.4088,2801452.1851,2729182.5749,2548385.9393,2351270.5279,2348167.7988
2021,04,11530760,11162035.931,1152651.7741999999,999599.6469,1206417.0414,1463424.3167,1646802.7036,1629573.1476,1529114.43,1534452.9153
2021,04,11530770,11007088.2891,665329.2121,843507.4311,1813708.5944,1883641.2481,1578294.6532,1535241.6146,1266595.482,1420770.0541
2021,04,11530780,37411096.8181,4595129.3874,3520980.6175,3970922.4979,6102645.2516,6117169.5652,4845633.5207,3879365.7697,4379250.2462
2021,04,11530790,16613013.7633,1203154.5362,1973746.0583,1973320.8313,2380477.6155,2749467.2884,2465360.9655999998,2017492.5679,1849993.8996000001
2021,04,11545510,43782756.059,761872.0884,1004892.8206,10035987.9105,11862219.6362,9065323.1126,6268395.4621,3095106.1217,1688958.9345
2021,04,11545610,24571309.389,1598279.6348,1169603.861,4007625.1644,5047752.8337,4125438.305,3841750.1734,2583765.293,2197094.147
2021,04,11545620,9988443.8585,458187.9389,582322.5636,1385982.8624,1725940.8525,1505587.1593,1760747.3641,1344447.4459,1225227.7051
2021,04,11545630,14699807.5901,630700.9924,802265.3282,2172006.2001,2664096.4955,2289035.3711,2628870.1816,1999333.9017999999,1513499.1373
2021,04,11545640,7890119.6204,323360.7267,450610.1643,1140576.9899,1383340.1509,1223646.5871,1437367.0647,1046193.4448,885024.4825
2021,04,11545670,20373006.3672,1338277.9864,1549599.5971,2579834.7992,3181977.8904,3275759.6169,3419770.0027,2549159.3885,2478627.0413
2021,04,11545680,11575644.0264,1197884.6502,1409961.8421,1027923.8937,1340837.1088,1868199.8032,1656417.7355,1562148.0435,1512270.9193
2021,04,11545690,7118614.4333,458090.2822,631173.2385,776373.2391,1090601.9994,1127502.0769,1221987.267,1024889.1545000001,787997.1927
2021,04,11545700,9025076.6687,642614.949,746190.9003,1084634.1597,1238826.209,1298164.5019,1491763.8398,1210784.3648,1312097.7323
2021,04,11545710,8597080.6216,571956.6537,778550.6014,1044454.7512,1155878.1477,1280936.6375,1354197.4871,1155937.0954,1255169.2377
2021,04,11560515,13701396.9462,835671.2865,902000.8538,2096440.9767,2444713.5033,2052498.2852,2194443.5318,1621281.3495,1554347.1795
2021,04,11560535,36140205.9877,1617425.3872,1501627.4149,7617810.9499,8506706.8158,5873234.3919,4938898.3345,3425500.6711999997,2659002.0379
2021,04,11560540,65017157.3179,2450496.1766,3019927.727,10762096.204,16511185.9653,14303788.4437,8728696.2425,4699988.561,4540978.0007
