행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11440710,연남동,0.0,44.0,304.0,72.0,7449.0,1840.0
11440720,성산1동,0.0,12.0,182.0,207.0,3507.0,1330.0
11440730,성산2동,0.0,0.0,88.0,179.0,1396.0,1011.0
11440740,상암동,0.0,0.0,242.0,390.0,7683.0,2337.0
11470510,목1동,12.0,36.0,339.0,241.0,5576.0,2917.0
11470520,목2동,0.0,12.0,56.0,155.0,1969.0,590.0
11470530,목3동,24.0,60.0,76.0,96.0,2253.0,550.0
11470540,목4동,12.0,65.0,177.0,104.0,2669.0,602.0
11470550,목5동,0.0,12.0,140.0,265.0,1753.0,831.0
11470560,신월1동,0.0,24.0,60.0,138.0,3044.0,504.0
11470570,신월2동,0.0,12.0,36.0,120.0,1149.0,267.0
11470580,신월3동,0.0,12.0,33.0,154.0,1247.0,226.0
11470590,신월4동,0.0,48.0,33.0,118.0,1918.0,292.0
11470600,신월5동,0.0,36.0,32.0,132.0,1650.0,532.0
11470610,신월6동,0.0,0.0,5.0,90.0,798.0,103.0
11470611,신월7동,0.0,48.0,36.0,179.0,1736.0,413.0
11470620,신정1동,12.0,108.0,126.0,141.0,2629.0,674.0
11470630,신정2동,0.0,84.0,105.0,96.0,1577.0,494.0
11470640,신정3동,0.0,129.0,101.0,310.0,1592.0,584.0
11470650,신정4동,0.0,168.0,127.0,263.0,4599.0,1376.0
11470670,신정6동,0.0,0.0,48.0,176.0,503.0,312.0
11470680,신정7동,0.0,0.0,156.0,129.0,1248.0,546.0
11500510,염창동,12.0,72.0,138.0,250.0,2965.0,1014.0
11500520,등촌1동,0.0,60.0,123.0,231.0,3243.0,1145.0
11500530,등촌2동,0.0,0.0,72.0,162.0,1132.0,441.0
11500535,등촌3동,0.0,12.0,155.0,463.0,3549.0,1556.0
11500540,화곡1동,421.0,969.0,123.0,204.0,7045.0,1422.0
11500550,화곡2동,0.0,12.0,35.0,96.0,936.0,410.0
11500560,화곡3동,72.0,96.0,116.0,74.0,2584.0,708.0
11500570,화곡4동,0.0,72.0,49.0,180.0,2817.0,710.0
11500590,화곡본동,45.0,24.0,54.0,274.0,2881.0,787.0
11500591,화곡6동,492.0,326.0,82.0,196.0,5120.0,835.0
11500593,화곡8동,24.0,96.0,123.0,108.0,2187.0,628.0
11500603,가양1동,351.0,108.0,276.0,301.0,10638.0,2887.0
11500604,가양2동,24.0,0.0,60.0,175.0,600.0,328.0
11500605,가양3동,0.0,0.0,36.0,150.0,454.0,331.0
11500611,발산1동,0.0,0.0,229.0,425.0,3163.0,1373.0
11500615,우장산동,24.0,36.0,142.0,204.0,2269.0,902.0
11500620,공항동,48.0,84.0,226.0,312.0,4002.0,1111.0
11500630,방화1동,12.0,0.0,190.0,315.0,4546.0,1438.0
11500640,방화2동,36.0,60.0,188.0,232.0,3834.0,1283.0
11500641,방화3동,0.0,0.0,84.0,228.0,944.0,445.0
11530510,신도림동,0.0,48.0,246.0,212.0,3287.0,1569.0
11530520,구로1동,0.0,0.0,60.0,108.0,876.0,360.0
11530530,구로2동,0.0,288.0,92.0,264.0,7213.0,1024.0
11530540,구로3동,0.0,252.0,131.0,264.0,8145.0,2251.0
11530550,구로4동,0.0,48.0,66.0,120.0,4735.0,412.0
11530560,구로5동,0.0,36.0,127.0,289.0,5799.0,1326.0
11530595,가리봉동,0.0,92.0,12.0,108.0,3111.0,251.0
11530720,고척1동,0.0,24.0,80.0,228.0,3977.0,1043.0
11530730,고척2동,12.0,72.0,84.0,156.0,1958.0,444.0
11530740,개봉1동,12.0,108.0,170.0,222.0,3195.0,519.0
11530750,개봉2동,24.0,48.0,79.0,108.0,1766.0,529.0
11530760,개봉3동,24.0,60.0,68.0,126.0,1537.0,348.0
11530770,오류1동,348.0,84.0,72.0,175.0,2139.0,485.0
11530780,오류2동,0.0,0.0,108.0,465.0,2070.0,712.0
11530790,수궁동,0.0,0.0,72.0,252.0,1504.0,628.0
11545510,가산동,204.0,108.0,212.0,546.0,11398.0,3734.0
11545610,독산1동,12.0,156.0,150.0,433.0,5395.0,1439.0
11545620,독산2동,24.0,60.0,36.0,105.0,1895.0,379.0
11545630,독산3동,60.0,178.0,48.0,229.0,3449.0,624.0
11545640,독산4동,24.0,60.0,36.0,108.0,2068.0,356.0
11545670,시흥1동,262.0,276.0,152.0,363.0,5853.0,1325.0
11545680,시흥2동,0.0,0.0,43.0,156.0,369.0,242.0
11545690,시흥3동,12.0,24.0,56.0,84.0,1266.0,215.0
11545700,시흥4동,0.0,0.0,31.0,148.0,974.0,336.0
11545710,시흥5동,0.0,12.0,43.0,128.0,1782.0,415.0
11560515,영등포본동,0.0,60.0,60.0,90.0,1469.0,608.0
11560535,영등포동,1023.0,658.0,326.0,404.0,11198.0,4034.0
11560540,여의동,543.0,543.0,524.0,936.0,18137.0,6838.0
11560550,당산1동,43.0,542.0,114.0,188.0,5872.0,1055.0
11560560,당산2동,78.0,96.0,132.0,168.0,4162.0,1361.0
11560585,도림동,0.0,48.0,72.0,55.0,1792.0,524.0
11560605,문래동,12.0,60.0,126.0,251.0,6016.0,1840.0
11560610,양평1동,24.0,93.0,105.0,175.0,3417.0,790.0
11560620,양평2동,72.0,84.0,84.0,234.0,3752.0,1011.0
11560630,신길1동,96.0,80.0,179.0,398.0,5329.0,1682.0
11560650,신길3동,0.0,12.0,24.0,81.0,1144.0,262.0
11560660,신길4동,0.0,36.0,6.0,43.0,557.0,72.0
11560670,신길5동,0.0,24.0,39.0,167.0,2204.0,474.0
11560680,신길6동,0.0,12.0,12.0,53.0,1088.0,175.0
11560690,신길7동,0.0,12.0,24.0,67.0,540.0,168.0
11560700,대림1동,12.0,140.0,72.0,190.0,4816.0,804.0
11560710,대림2동,0.0,84.0,24.0,128.0,2130.0,163.0
11560720,대림3동,12.0,48.0,24.0,96.0,1792.0,262.0
11590510,노량진1동,60.0,24.0,205.0,216.0,5131.0,1975.0
11590520,노량진2동,84.0,24.0,12.0,60.0,1761.0,334.0
11590530,상도1동,0.0,36.0,260.0,280.0,4596.0,1859.0
11590540,상도2동,48.0,48.0,108.0,198.0,2170.0,553.0
11590550,상도3동,36.0,24.0,73.0,84.0,1014.0,402.0
11590560,상도4동,0.0,24.0,27.0,187.0,1146.0,252.0
11590605,흑석동,12.0,48.0,145.0,279.0,4239.0,980.0
11590620,사당1동,156.0,96.0,324.0,232.0,5899.0,1515.0
11590630,사당2동,144.0,48.0,53.0,116.0,3505.0,850.0
11590640,사당3동,0.0,12.0,67.0,115.0,951.0,334.0
11590650,사당4동,0.0,0.0,36.0,72.0,613.0,204.0
11590651,사당5동,0.0,0.0,0.0,84.0,414.0,88.0
11590660,대방동,12.0,96.0,141.0,345.0,2381.0,852.0
11590670,신대방1동,24.0,12.0,87.0,240.0,2082.0,691.0
11590680,신대방2동,24.0,48.0,46.0,108.0,2010.0,698.0
11620525,보라매동,12.0,24.0,72.0,223.0,2750.0,759.0
11620545,청림동,0.0,0.0,57.0,42.0,643.0,244.0
11620565,성현동,0.0,12.0,39.0,162.0,762.0,322.0
11620575,행운동,180.0,60.0,87.0,162.0,2719.0,932.0
11620585,낙성대동,52.0,84.0,61.0,170.0,5338.0,930.0
11620595,청룡동,72.0,72.0,92.0,211.0,3813.0,1133.0
11620605,은천동,0.0,60.0,102.0,169.0,3134.0,497.0
11620615,중앙동,48.0,36.0,108.0,108.0,2304.0,453.0
11620625,인헌동,0.0,24.0,77.0,72.0,2230.0,601.0
11620630,남현동,198.0,84.0,106.0,96.0,2364.0,661.0
11620645,서원동,400.0,48.0,102.0,107.0,4399.0,853.0
11620655,신원동,0.0,12.0,75.0,72.0,1810.0,368.0
11620665,서림동,0.0,12.0,24.0,57.0,1755.0,538.0
11620685,신사동,212.0,381.0,811.0,355.0,21565.0,5445.0
11620695,신림동,1159.0,163.0,42.0,46.0,4992.0,1020.0
11620715,난향동,0.0,12.0,33.0,108.0,345.0,188.0
11620725,조원동,210.0,273.0,72.0,106.0,3677.0,575.0
11620735,대학동,0.0,0.0,145.0,156.0,5002.0,1764.0
11620745,삼성동,12.0,12.0,12.0,132.0,608.0,192.0
11620765,미성동,84.0,48.0,87.0,216.0,1946.0,609.0
11620775,난곡동,0.0,0.0,88.0,141.0,1202.0,410.0
11650510,서초1동,156.0,252.0,208.0,378.0,6481.0,2199.0
11650520,서초2동,141.0,96.0,266.0,300.0,8006.0,2247.0
11650530,서초3동,198.0,237.0,254.0,413.0,10843.0,2958.0
11650531,서초4동,162.0,60.0,187.0,128.0,5631.0,1365.0
11650540,잠원동,48.0,201.0,219.0,190.0,5890.0,1664.0
11650550,반포본동,12.0,0.0,135.0,134.0,1877.0,764.0
11650560,반포1동,12.0,60.0,136.0,144.0,3324.0,1371.0
11650570,반포2동,0.0,0.0,68.0,103.0,490.0,630.0
11650580,반포3동,0.0,0.0,64.0,70.0,984.0,474.0
11650581,반포4동,0.0,0.0,456.0,239.0,5330.0,3425.0
11650590,방배본동,12.0,132.0,147.0,85.0,3485.0,1031.0
11650600,방배1동,29.0,48.0,110.0,69.0,3093.0,880.0
11650610,방배2동,0.0,48.0,145.0,157.0,4141.0,850.0
11650620,방배3동,0.0,0.0,66.0,240.0,991.0,512.0
11650621,방배4동,36.0,24.0,132.0,120.0,3027.0,887.0
11650651,양재1동,18.0,143.0,267.0,438.0,7004.0,2252.0
11650652,양재2동,0.0,48.0,307.0,269.0,7556.0,3357.0
11650660,내곡동,0.0,0.0,66.0,297.0,1115.0,534.0
11680510,신사동,212.0,381.0,811.0,355.0,21565.0,5445.0
11680521,논현1동,266.0,774.0,426.0,270.0,16592.0,4196.0
11680531,논현2동,141.0,216.0,187.0,132.0,6252.0,1003.0
11680545,압구정동,36.0,36.0,405.0,125.0,4525.0,1693.0
11680565,청담동,172.0,209.0,324.0,381.0,10994.0,2318.0
11680580,삼성1동,225.0,158.0,678.0,463.0,12091.0,6161.0
11680590,삼성2동,280.0,82.0,129.0,120.0,3079.0,877.0
11680600,대치1동,46.0,96.0,385.0,398.0,8340.0,4179.0
11680610,대치2동,0.0,113.0,129.0,137.0,3888.0,1024.0
11680630,대치4동,24.0,60.0,108.0,84.0,4302.0,1106.0
11680640,역삼1동,1078.0,899.0,773.0,633.0,31177.0,9215.0
11680650,역삼2동,90.0,72.0,129.0,117.0,3849.0,1303.0
11680655,도곡1동,0.0,60.0,155.0,233.0,4193.0,1611.0
11680656,도곡2동,0.0,36.0,96.0,168.0,1722.0,679.0
11680660,개포1동,0.0,12.0,88.0,205.0,2060.0,1095.0
11680670,개포2동,0.0,0.0,72.0,228.0,1526.0,694.0
11680690,개포4동,0.0,48.0,36.0,120.0,1656.0,291.0
11680700,세곡동,0.0,0.0,84.0,341.0,1976.0,985.0
11680720,일원본동,0.0,0.0,87.0,251.0,851.0,508.0
11680730,일원1동,0.0,0.0,36.0,120.0,1307.0,193.0
11680740,일원2동,0.0,0.0,24.0,108.0,436.0,81.0
11680750,수서동,0.0,12.0,144.0,211.0,1944.0,723.0
11710510,풍납1동,12.0,12.0,93.0,215.0,1976.0,632.0
11710520,풍납2동,0.0,36.0,48.0,120.0,797.0,341.0
11710531,거여1동,0.0,60.0,45.0,189.0,2080.0,671.0
11710532,거여2동,0.0,12.0,60.0,105.0,658.0,86.0
11710540,마천1동,0.0,24.0,34.0,132.0,2683.0,698.0
11710550,마천2동,0.0,36.0,48.0,84.0,884.0,75.0
11710561,방이1동,108.0,172.0,197.0,224.0,6440.0,1754.0
11710562,방이2동,392.0,248.0,27.0,96.0,3633.0,500.0
11710566,오륜동,0.0,0.0,24.0,84.0,253.0,89.0
11710570,오금동,0.0,84.0,116.0,312.0,3241.0,1021.0
11710580,송파1동,0.0,185.0,255.0,144.0,5135.0,1510.0
11710590,송파2동,0.0,24.0,8.0,108.0,523.0,122.0
11710600,석촌동,36.0,309.0,125.0,192.0,5604.0,1311.0
11710610,삼전동,0.0,132.0,135.0,213.0,3470.0,1141.0
11710620,가락본동,441.0,370.0,245.0,526.0,8497.0,2139.0
11710631,가락1동,24.0,24.0,21.0,82.0,888.0,89.0
11710632,가락2동,0.0,29.0,24.0,72.0,973.0,173.0
11710641,문정1동,0.0,12.0,185.0,263.0,9630.0,3786.0
11710642,문정2동,0.0,0.0,207.0,329.0,3492.0,1612.0
11710646,장지동,0.0,0.0,65.0,168.0,972.0,259.0
11710647,위례동,0.0,0.0,0.0,24.0,130.0,75.0
11710650,잠실본동,132.0,96.0,577.0,300.0,10043.0,4107.0
